Week,Matchup,Predicted Away Team Score,Predicted Home Team Score,Actual Away Team Score,Actual Home Team Score,Total Point Differential,Total Point Spread,Spread+Differential Average,Analyst,Win Score
11,SF @ ARI,24,20,41,22,19,15,17.00,AI MODEL V1,1
11,CHI @ MIN,27,28,19,17,19,3,11.00,AI MODEL V1,0
11,WSH @ MIA,26,23,13,16,20,6,13.00,AI MODEL V1,0
11,CIN @ PIT,31,38,12,34,23,15,19.00,AI MODEL V1,1
11,LAC @ JAX,40,33,6,35,32,36,34.00,AI MODEL V1,0
11,TB @ BUF,24,31,32,44,21,5,13.00,AI MODEL V1,1
11,HOU @ TEN,16,6,16,13,7,7,7.00,AI MODEL V1,1
11,CAR @ ATL,20,17,30,27,20,0,10.00,AI MODEL V1,1
11,GB @ NYG ,37,35,27,20,25,5,15.00,AI MODEL V1,1
11,SEA @ LAR,22,27,19,21,9,3,6.00,AI MODEL V1,1
11,KC @ DEN,31,27,19,22,17,7,12.00,AI MODEL V1,0
11,DET @ PHI,38,24,9,16,37,21,29.00,AI MODEL V1,0
11,DAL @ LV,23,19,33,16,7,13,10.00,AI MODEL V1,1
11,BAL @ CLE,30,17,23,16,8,6,7.00,AI MODEL V1,1
11,SF @ ARI,23,20,41,22,20,16,18.00,Maldonado ESPN,1
11,CHI @ MIN,14,24,19,17,2,12,7.00,Maldonado ESPN,0
11,WSH @ MIA,12,20,13,16,3,5,4.00,Maldonado ESPN,1
11,CIN @ PIT,28,34,12,34,16,16,16.00,Maldonado ESPN,1
11,LAC @ JAX,29,16,6,35,4,42,23.00,Maldonado ESPN,0
11,TB @ BUF,20,27,32,44,29,5,17.00,Maldonado ESPN,1
11,HOU @ TEN,23,16,16,13,10,4,7.00,Maldonado ESPN,1
11,CAR @ ATL,21,28,30,27,8,10,9.00,Maldonado ESPN,0
11,GB @ NYG ,24,10,27,20,13,7,10.00,Maldonado ESPN,1
11,SEA @ LAR,28,23,19,21,11,7,9.00,Maldonado ESPN,0
11,KC @ DEN,27,22,19,22,8,8,8.00,Maldonado ESPN,0
11,DET @ PHI,20,21,9,16,16,6,11.00,Maldonado ESPN,1
11,DAL @ LV,26,23,33,16,0,14,7.00,Maldonado ESPN,1
11,BAL @ CLE,24,9,23,16,6,8,7.00,Maldonado ESPN,1
11,SF @ ARI,31,20,41,22,12,8,10.00,Moody ESPN,1
11,CHI @ MIN,24,26,19,17,14,4,9.00,Moody ESPN,0
11,WSH @ MIA,20,32,13,16,23,9,16.00,Moody ESPN,1
11,CIN @ PIT,27,21,12,34,2,28,15.00,Moody ESPN,0
11,LAC @ JAX,20,16,6,35,5,33,19.00,Moody ESPN,0
11,TB @ BUF,24,27,32,44,25,9,17.00,Moody ESPN,1
11,HOU @ TEN,30,13,16,13,14,14,14.00,Moody ESPN,1
11,CAR @ ATL,20,23,30,27,14,6,10.00,Moody ESPN,0
11,GB @ NYG ,26,23,27,20,2,4,3.00,Moody ESPN,1
11,SEA @ LAR,24,27,19,21,11,1,6.00,Moody ESPN,1
11,KC @ DEN,27,20,19,22,6,10,8.00,Moody ESPN,0
11,DET @ PHI,24,30,9,16,29,1,15.00,Moody ESPN,1
11,DAL @ LV,34,23,33,16,8,6,7.00,Moody ESPN,1
11,BAL @ CLE,38,20,23,16,19,11,15.00,Moody ESPN,1
11,SF @ ARI,23,16,41,22,24,12,18.00,Walder ESPN,1
11,CHI @ MIN,23,17,19,17,4,4,4.00,Walder ESPN,1
11,WSH @ MIA,27,21,13,16,19,9,14.00,Walder ESPN,0
11,CIN @ PIT,20,23,12,34,3,19,11.00,Walder ESPN,1
11,LAC @ JAX,25,22,6,35,6,32,19.00,Walder ESPN,0
11,TB @ BUF,17,27,32,44,32,2,17.00,Walder ESPN,1
11,HOU @ TEN,23,13,16,13,7,7,7.00,Walder ESPN,1
11,CAR @ ATL,16,19,30,27,22,6,14.00,Walder ESPN,0
11,GB @ NYG ,31,14,27,20,2,10,6.00,Walder ESPN,1
11,SEA @ LAR,20,26,19,21,6,4,5.00,Walder ESPN,1
11,KC @ DEN,30,10,19,22,1,23,12.00,Walder ESPN,0
11,DET @ PHI,24,10,9,16,9,21,15.00,Walder ESPN,0
11,DAL @ LV,28,14,33,16,7,3,5.00,Walder ESPN,1
11,BAL @ CLE,27,13,23,16,1,7,4.00,Walder ESPN,1
11,SF @ ARI,28,23,41,22,12,14,13.00,Filice NFL,1
11,CHI @ MIN,26,27,19,17,17,3,10.00,Filice NFL,0
11,WSH @ MIA,16,28,13,16,15,9,12.00,Filice NFL,1
11,CIN @ PIT,27,30,12,34,11,19,15.00,Filice NFL,1
11,LAC @ JAX,22,17,6,35,2,34,18.00,Filice NFL,0
11,TB @ BUF,25,28,32,44,23,9,16.00,Filice NFL,1
11,HOU @ TEN,21,13,16,13,5,5,5.00,Filice NFL,1
11,CAR @ ATL,14,20,30,27,23,9,16.00,Filice NFL,0
11,GB @ NYG ,29,17,27,20,1,5,3.00,Filice NFL,1
11,SEA @ LAR,24,23,19,21,7,3,5.00,Filice NFL,0
11,KC @ DEN,26,19,19,22,4,10,7.00,Filice NFL,0
11,DET @ PHI,29,27,9,16,31,9,20.00,Filice NFL,0
11,DAL @ LV,32,24,33,16,7,9,8.00,Filice NFL,1
11,BAL @ CLE,23,14,23,16,2,2,2.00,Filice NFL,1
12,PIT @ CHI,24,27,28,31,8,0,4.00,AI MODEL V1,1
12,NE @ CIN,23,21,26,20,2,4,3.00,AI MODEL V1,1
12,NYG @ DET,31,34,27,34,4,4,4.00,AI MODEL V1,1
12,MIN @ GB,10,20,6,23,1,7,4.00,AI MODEL V1,1
12,SEA @ TEN,27,10,30,24,17,11,14.00,AI MODEL V1,1
12,IND @ KC,35,28,20,23,20,10,15.00,AI MODEL V1,0
12,NYJ @ BAL,7,44,10,23,18,24,21.00,AI MODEL V1,1
12,CLE @ LV,24,31,24,10,21,21,21.00,AI MODEL V1,0
12,JAX @ ARI,24,27,27,24,0,6,3.00,AI MODEL V1,0
12,PHI @ DAL,20,33,21,24,8,10,9.00,AI MODEL V1,1
12,ATL @ NO,23,20,24,10,9,11,10.00,AI MODEL V1,1
12,TB @ LAR,29,41,7,34,29,15,22.00,AI MODEL V1,1
12,CAR @ SF,6,27,9,20,4,10,7.00,AI MODEL V1,1
12,PIT @ CHI,29,27,28,31,3,5,4.00,AI MODEL V2,0
12,NE @ CIN,35,17,26,20,6,12,9.00,AI MODEL V2,1
